;Purchase;Organisation;Price;Date
491;поставка брошюр «Ценности Росатома»;"Автономная некоммерческая организация ""Корпоративная Академия Росатома""";;01.11.2016
492;Изготовление и поставка брошюр;"Филиал ОАО""Концерн РОсэнергоатом"" ""Смоленская атомная станция"" ""Смоленская атомная станция""";;03.11.2016
493;Изготовление и поставка брошюры;"Филиал ОАО""Концерн РОсэнергоатом"" ""Смоленская атомная станция"" ""Смоленская атомная станция""";;02.11.2016
494;Мониторинг цен на поставку контрольно-измерительных приборов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМЭНЕРГОСБЫТ""";;22.11.2016
495;«Поставка электронной библиотеки технических документов энергетической отрасли с ежемесячным обновлением для Балаковского филиала «Балаковоатомтехэнерго» АО «Атомтехэнерго»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПО НАЛАДКЕ, СОВЕРШЕНСТВОВАНИЮ ЭКСПЛУАТАЦИИ И ОРГАНИЗАЦИИ УПРАВЛЕНИЯ АТОМНЫХ СТАНЦИЙ ""АТОМТЕХЭНЕРГО""";;31.10.2016
496;Изготовление и поставка шкафов ПЛК по заданию заказчика;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;16.11.2016
497;Закупка СИЗ для защиты от термического воздействия электрической дуги;"Открытое акционерное общество ""Уральский электрохимический комбинат""";;25.10.2016
498;Поставка клапанов сильфонных для объектов атомной энергетики (ПСЭ бл.1,2).;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";29989301;03.02.2017
499;Поставка арматуры регулирующей электроприводной для объектов атомной энергетики (ПСЭ бл.1,2).;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";23565445;09.02.2017
500;Поставка клапанов регулирующих для объектов атомной энергетики;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";19051395;27.01.2017
501;Поставка задвижек для объектов атомной энергетики (ПСЭ бл.1,2);"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";17007908;01.02.2017
502;выполнение работ по ремонту зданий и сооружений энергетики;"Федеральное государственное унитарное предприятие ""Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина""";8079242;16.12.2016
503;Поставка охладителя проб для объекта атомной энергетики (ПСЭ бл.1);"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";306000;23.12.2016
504;"Организация доставки Статора электродвигателя автомобильным транспортом по маршруту: г. Новосибирск, ул. Сибиряков-Гвардейцев, 56 - с. Холмогорское, Шарыповский р-н, Красноярский край, (промбаза ""Энергетиков"", строение 1/15)";"АО ""АСС""";170000;21.12.2016
505;Оказание услуг охраны объектов недвижимого имущества, расположенного в Ростовской области;"ОАО ""РЖДстрой""";3609120;21.12.2016
506;"Смазочное масло для аммиачных, воздушных винтовых и поршневых компрессоров МПП ООО ""Тамбовский бекон""";"Общество с ограниченной ответственностью ""Тамбовский бекон""";;21.02.2017
507;"Насосы Dab для СП ""Энергетик""";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;09.12.2016
508;"Мониторинг рынка цен по лоту № 2004107 ""Право заключения договора на Аренда под размещение ветеранов МОДВ атомной энергетики и промышленности""";"Государственная корпорация по атомной энергии ""Росатом""";;26.12.2016
509;Сопровождение эксплуатации энергоблоков №1, 2, 3 в части согласования эксплуатационной документации, программ, методик и отчетов на соответствие требованиям норм и правил в области атомной энергетики;"Филиал АО ""Концерн Росэнергоатом"" ""Ростовская атомная станция""";;23.12.2016
510;размещению информационных материалов о деятельности АО «УЭХК» в специализированном информационно-аналитическом выпуске «Энергоэффективность - территория развития бизнеса» годового сборника Комитета по энергетике СОСПП;"Открытое акционерное общество ""Уральский электрохимический комбинат""";;06.12.2016
511;"""Оказание услуг по инспекционному контролю сертификатов и подтверждению соответствия комплексов ИТСФЗ Калиниской АЭС в Системе подтверждения соответствия продукции, для которой устанавливаются требования, связанные с обеспечением безопасности продукции в области использования атомной энергетики.""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"" Филиал «Калининская атомная станция»";;18.01.2017
512;Работы по изготовлевнию клеммной системы в сборе для стенда ГЦЭН-310;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";;28.12.2016
513;Работы по изготовлению изолятора проходного с втулкой для стенда ГЦЭН-310;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";;28.12.2016
514;Поставка трапов спецкнализации для объектов атомной энергетики (ПСЭ бл.1,2);"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";2790267;04.03.2017
515;Устройства компенсирующие;"АО ""АСС""";9482848;10.02.2017
516;Средства индивидуальной защиты;"АО ""АСС""
Заказчик:АО ""ТЭС""";1214709;15.02.2017
517;Спецодежда;"АО ""АСС""
Заказчик:АО ""ТЭС""";756870;15.02.2017
518;Хозяйственный инвентарь и средства для поддержания чистоты;"АО ""АСС""";593903;07.02.2017
519;Рабочая обувь;"АО ""АСС""
Заказчик:АО ""ТЭС""";409400;02.03.2017
520;Рабочая обувь;"АО ""АСС""
Заказчик:АО ""ТЭС""";310660;09.02.2017
521;Моющие средства;"АО ""АСС""
Заказчик:АО ""ТЭС""";77748;10.02.2017
522;Инструмент измерительный;"АО ""АСС""";63791;03.02.2017
523;Инструмент слесарно-монтажный;"АО ""АСС""
Заказчик:АО ""ТЭС""";132495;14.02.2017
524;Баннеры;"АО ""АСС""
Заказчик:АО ""ТЭС""";141000;14.03.2017
525;Металлические изделия;"АО ""АСС""";74786;07.02.2017
526;Оборудование электросварочное;"АО ""АСС""";109907;02.02.2017
527;Установка противопожарных дверей;"АО ""АСС""";260000;03.02.2017
528;Техническое обслуживание копировальной техники;"АО ""АСС""";97000;01.02.2017
529;Средства малой механизации;"АО ""АСС""
Заказчик:АО ""ТЭС""";150990;06.03.2017
530;Кабельно-проводниковая продукция и приспособления для монтажа кабельно-проводниковой продукции;"АО ""АСС""
Заказчик:АО ""ТЭС""";174455;13.03.2017
531;Лаки и краски;"АО ""АСС""
Заказчик:АО ""ТЭС""";62653;27.02.2017
532;Кремы, лосьоны защитные, рефтамиды;"АО ""АСС""
Заказчик:АО ""ТЭС""";60821;03.03.2017
533;Отделочные материалы;"АО ""АСС""";695000;01.02.2017
534;Гидрохимическая промывка водогрейных котлов теплопроизводительностью до 4 МВт;"АО ""АСС""
Заказчик:ООО ""Энергетик""";359048;03.03.2017
535;Техническое обслуживание пурифайеров;"АО ""АСС""";102000;01.02.2017
536;Техническое обслуживание кондиционеров;"АО ""АСС""
Заказчик:АО ""ПРиС""";100000;02.03.2017
537;Услуги по замерам опасных и вредных производственных факторов (ОВПФ);"АО ""АСС""
Заказчик:ООО ""Энергетик""";103490;28.02.2017
538;Экспертиза кранов;"АО ""АСС""
Заказчик:АО ""ПРиС""";100000;01.03.2017
539;Экспертиза кранов;"АО ""АСС""
Заказчик:АО ""ПРиС""";100000;28.02.2017
540;Обслуживание узлов учета газа;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;09.05.2017
541;Услуги автокрана и автовышки;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;03.04.2017
542;Замена внутренних газопроводов цехов откорма;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;10.04.2017
543;Лабораторные испытания электрооборудования;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;07.04.2017
544;Ремонт оборудования и приборов КИПиА;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;03.02.2017
545;Обслуживание сетей наружного освещения;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;03.04.2017
546;Ремонт электрических машин;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;08.05.2017
547;Материалы для содержания помещений в чистоте;"АО ""АСС""";158691;03.02.2017
548;закупка спиртов и растворителей;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:ООО ""Тамбовский бекон""";;29.04.2017
549;Оказание услуг по проведению экспертизы по продукту АСУ ТП для объектов традиционной энергетики РФ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;06.03.2017
550;организация и проведение социологического исследования на тему «Отношение городского населения России к атомной энергетике»;"Государственная корпорация по атомной энергии ""Росатом""";;08.02.2017
551;Обновление приборов и инструментов для выполнения ПНР на объектах атомной и тепловой энергетики;"АКЦИОНЕРНОЕ ОБЩЕСТВО ПО НАЛАДКЕ, СОВЕРШЕНСТВОВАНИЮ ЭКСПЛУАТАЦИИ И ОРГАНИЗАЦИИ УПРАВЛЕНИЯ АТОМНЫХ СТАНЦИЙ ""АТОМТЕХЭНЕРГО""";;07.03.2017
552;Оказание услуг по организации питания в санатории-профилактории «Энергетик»;Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;24.01.2017
553;повышение квалификации в области эксплуатации и обслуживания энергетического оборудования, промышленного строительства, экономики и мнеджмента в энергетике;"Акционерное общество ""Концерн Росэнергоатом""";;07.02.2017
554;Поставка трапов спецкнализации для объектов атомной энергетики (ПСЭ бл.1,2);"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";2790267;04.03.2017
555;Устройства компенсирующие;"АО ""АСС""";9482848;10.02.2017
556;Средства индивидуальной защиты;"АО ""АСС""
Заказчик:АО ""ТЭС""";1214709;15.02.2017
557;Спецодежда;"АО ""АСС""
Заказчик:АО ""ТЭС""";756870;15.02.2017
558;Хозяйственный инвентарь и средства для поддержания чистоты;"АО ""АСС""";593903;07.02.2017
559;Рабочая обувь;"АО ""АСС""
Заказчик:АО ""ТЭС""";409400;02.03.2017
560;Рабочая обувь;"АО ""АСС""
Заказчик:АО ""ТЭС""";310660;09.02.2017
561;Моющие средства;"АО ""АСС""
Заказчик:АО ""ТЭС""";77748;10.02.2017
562;Инструмент измерительный;"АО ""АСС""";63791;03.02.2017
563;Инструмент слесарно-монтажный;"АО ""АСС""
Заказчик:АО ""ТЭС""";132495;14.02.2017
564;Баннеры;"АО ""АСС""
Заказчик:АО ""ТЭС""";141000;14.03.2017
565;Металлические изделия;"АО ""АСС""";74786;07.02.2017
566;Оборудование электросварочное;"АО ""АСС""";109907;02.02.2017
567;Установка противопожарных дверей;"АО ""АСС""";260000;03.02.2017
568;Техническое обслуживание копировальной техники;"АО ""АСС""";97000;01.02.2017
569;Средства малой механизации;"АО ""АСС""
Заказчик:АО ""ТЭС""";150990;06.03.2017
570;Кабельно-проводниковая продукция и приспособления для монтажа кабельно-проводниковой продукции;"АО ""АСС""
Заказчик:АО ""ТЭС""";174455;13.03.2017
571;Лаки и краски;"АО ""АСС""
Заказчик:АО ""ТЭС""";62653;27.02.2017
572;Кремы, лосьоны защитные, рефтамиды;"АО ""АСС""
Заказчик:АО ""ТЭС""";60821;03.03.2017
573;Отделочные материалы;"АО ""АСС""";695000;01.02.2017
574;Обновление и расширение функционала ПО Norma CS (обновления для атомной энергетики- СКБЭМ);"Публичное акционерное общество ""Пролетарский завод""";403000;04.05.2017
575;Инвентарная опалубка стеновая «ГАММА»;"АО ""АСС""
Заказчик:АО ""ТЭС""";1224000;11.04.2017
576;Выполнение ПИР по замене аккумуляторной батареи на ПС 110 кВ Венгерово;"АО ""АСС""
Заказчик:АО ""РЭМиС""";415254;31.03.2017
577;Техническое обслуживание ИБП и замена АКБ ИБП;"АО ""АСС""
Заказчик:АО ""РЭС""";224219;05.05.2017
578;Обслуживание узлов учета газа;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;09.05.2017
579;Замена ВНБ;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;26.05.2017
580;Ремонт оборудования КИПиА;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;30.05.2017
581;Ремонт узлов учета газа;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;05.06.2017
582;Ремонт электрических машин;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;08.05.2017
583;Поставка «АП индивидуальная для персонала предприятий атомной энергетики»;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ФЕДЕРАЛЬНЫЙ ЭКОЛОГИЧЕСКИЙ ОПЕРАТОР""";;16.03.2017
584;Оценка рыночной и ликвидационной стоимостей недвижимого имущества АО «ЦУФС» с проведением Экспертизы СРО, расположенного по адресу: г. Санкт-Петербург, п-т Энергетиков д.24;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СОБСТВЕННОСТЬЮ""";;27.04.2017
585;Оказание услуг по проведению экспертизы по продукту АСУ ТП для объектов традиционной энергетики РФ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;20.04.2017
586;Оказание услуг по проведению экспертизы по продукту АСУ ТП для объектов традиционной энергетики РФ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;06.03.2017
587;оказание услуг по организации социологического исследования на тему: «Восприятие перспектив развития атомной энергетики»;"Государственная корпорация по атомной энергии ""Росатом""";;27.03.2017
588;Техническое освидетельствование оборудования и трубопроводов, подконтрольных ФНП в атомной энергетике в части проведения неразрушающего контроля;"Филиал ОАО ""Концерн Росэнергоатом"" ""Опытно-демонстрационный инженерный центр по выводу из эксплуатации""";;21.04.2017
589;участие в VIII научно-технической конференции с международным участием «Проблемы и перспективы развития химического и радиохимического контроля в атомной энергетике «АТОМЭНЕРГОАНАЛИТИКА - 2017»;"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция""";;05.04.2017
590;"Организация участия в научно-технической конференции ""Проблемы и перспективы развития химического и радиохимического контроля в атомной энергетике ""АТОМЭНЕРГОАНАЛИТИКА-2017"" одного представителя ФГУП ""ПО ""Маяк""";Федеральное государственное унитарное предприятие «Производственное объединение «Маяк»;;28.04.2017
591;"Модернизация (приведение) нежилого здания с подвалом (клуб ""Энергетик"") к действующим нормам и правилам";"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция""";;17.03.2017
592;"Модернизация (приведение) нежилого здания с подвалом (клуб ""Энергетик"") к действующим нормам и правилам";"Филиал АО ""Концерн Росэнергоатом"" ""Курская атомная станция""";;13.04.2017
593;Оказание услуг по аттестации персонала НОАП «АУЦ ЦНИИТМАШ» на III квалификационный уровень по неразрушающему и разрушающему контролю объектов Ростехнадзора, в т.ч. атомной энергетике;Акционерное общество «Научно-производственное объединение «Центральный научно-исследовательский институт технологии машиностроения»;;16.04.2017
594;оказание услуг по перевозке несовершеннолетних участников конкурса реферативно-исследовательских работ обучающихся образовательных учреждений области «Атомная энергетика – гордость России-2017», посвященного Году экологии в России и 25-летию концерна «Росэнергоатом»;Филиал АО «Концерн Росэнергоатом» «Балаковская атомная станция»;;22.03.2017
595;Оказание информационно-консультационных услуг по подготовке учебно-методических материалов для подготовки специалистов в области инфраструктуры атомной энергетики в обеспечение устойчивого развития национальных ядерно-энергетических программ;Ольга Сафонова;;28.03.2017
596;Техническое обслуживание оборудования системы отображения информации (СОИ) зд. СКК «Энергетик» Ленинградской АЭС;"Акционерное общество ""Концерн Росэнергоатом""";;22.03.2017
597;"Оказание услуг по проведению рекламно-имиджевых мероприятий, посвященных деятельности филиала ""Концерн Росэнергоатом"" ""Калининская атомная станция"", создание в регионе расположения КАЭС устойчивого положительного мнения о социальной и экономической приемлемости КАЭС и атомной энергетики в целом";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"" Филиал «Калининская атомная станция»";;15.03.2017
598;"Оказание услуг по организации питания участников мероприятий, проживающих в санатории-профилактории ""Энергетик""";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;25.04.2017
599;«Повышение надежности, эффективности, безопасности эксплуатации электротехнического оборудования, по теме: Проведение сравнительного анализа эксплуатации электротехнического оборудования АЭС специалистами предприятий традиционной энергетики. (НВОАЭС, КЛНАЭС, КУРАЭС, ЛЕНАЭС). Разработка предложений по совершенствованию эксплуатации».;"Технологический филиал ОАО ""Концерн Росэнергоатом"" (""Технологический филиал"")";;15.03.2017
600;"Поставка туалетных принадлежностей и средств личной гигиены для оснащения ванных комнат в санатории- профилактории ""Энергетик"" Нововоронежской АЭС";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;24.03.2017
601;"Оказание услуг по производственному и микробиологическому контролю в санатории- профилактории ""Энергетик""";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;13.03.2017
602;"Поставка туалетных принадлежностей и средств личной гигиены для оснащения ванных комнат в санатории- профилактории ""Энергетик"" Нововоронежской АЭС";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;24.03.2017
603;"Медицинское оборудование для санатория-профилактория ""Энергетик"" НВАЭС";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;04.04.2017
604;"Оказание услуг по программам повышения квалификации: ""Организация и ведение гражданской обороны, предупреждение и ликвидация чрезвычайных ситуаций (обучение членов комиссии по предупреждению и ликвидации чрезвычайных ситуаций и обеспечению пожарной безопасности объектов (КЧСПБО)"" и ""Предаттестационная подготовка руководителей и специалистов в области безопасности гидротехнических сооружений объектов энергетики"".";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ"" Филиал «Калининская атомная станция»";;30.03.2017
605;"Оказание услуг по техническому обслуживанию инженерных систем и оборудования защищенного пункта управления противоаварийными действиями (ЗПУПДГ) расположенного на территории СП ""Энергетик""";Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;30.03.2017
606;Оказание услуг в 2017 году по реализации Экологической политики АО «Концерн Росэнергоатом»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";;15.03.2017
607;стенды;"Акционерное общество ""Концерн Росэнергоатом""";;21.03.2017
608;Изготовление и поставка полиграфической и наградной продукции для нужд АО «Концерн Росэнергоатом»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";;03.04.2017
609;Изготовление и поставка полиграфической и наградной продукции для нужд АО «Концерн Росэнергоатом»;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";;20.03.2017
610;Поставка периодических печатных изданий на 2-е полугодие 2017 года;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ ИМЕНИ А.П. АЛЕКСАНДРОВА""";;27.04.2017
611;"оказание услуг по организации питания участников мероприятий, проживающих в санатории-профилактории ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";9006000;03.07.2017
612;Повышение квалификации в области эксплуатации и обслуживания энергетического оборудования, промышленного строительства, экономики именеджмента в энергетике;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Ленинградская атомная станция""";2858992;08.06.2017
613;Техническое освидетельствование оборудования и трубопроводных подконтрольных ФНП в атомной энергетики в части проведения неразрушающего контроля;"Филиал Акционерного общества ""Концерн Росэнергоатом"" ""Опытно-демонстрационный инженерный центр по выводу из эксплуатации""";590000;01.07.2017
614;"оказание услуг по проведению рекламно-имиджевых мероприятий, посвященных деятельности филиала ""Концерн Росэнергоатом"" ""Калининская атомная станция"", создание в регионе расположения КАЭС устойчивого положительного мнения о социальной и экономической приемлемости КАЭС и атомной энергетики в целом";"Акционерное общество ""Концерн Роснергоатом"" филиал ""Калининская атомная станция""";1484735;09.06.2017
615;Проведение испытаний и измерений высоковольтного электрооборудования предприятия, замер сопротивления контуров заземления и молниеотводов;"Акционерное общество ""Золоторудная Компания ПАВЛИК""";;18.05.2017
616;Испытание пожарных гидрантов;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:БФ ООО ""Тамбовский бекон""";;05.08.2017
617;Техническое обслуживание и ремонт пожарной сигнализации;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:ООО ""Тамбовский бекон"" Белгородский филиал";;09.07.2017
618;Смазочное Масло;"Общество с ограниченной ответственностью ""Тамбовский бекон""";;12.05.2017
619;Приобретение экземпляра отчета по рынку объектов альтернативной энергетики (ветрогенерация, солнечная и геотермальная генерация) и решениям по автоматизации объектов альтернативной энергетики;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;19.08.2017
620;Приобретение экземпляра отчета по рынку объектов альтернативной энергетики (ветрогенерация, солнечная и геотермальная генерация) и решениям по автоматизации объектов альтернативной энергетики;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;14.06.2017
621;Оказание услуг по проведению экспертизы по продукту АСУ ТП для объектов традиционной энергетики РФ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""";;19.05.2017
622;Услуги по повышению квалификации персонала по правовым основам деятельности предприятия тепловой энергетики.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИИАР-ГЕНЕРАЦИЯ""";;10.05.2017
623;Организация и выполнение транспортно-экспедиционных услуг междугородных перевозок негабаритного груза по маршруту: г.Подольск, ул.Железнодорожная д2., ПАО «ЗиО-Подольск» - Красноярский край, Шарыповский р-он, с.Холмогорское, промбаза «Энергетиков», 5.;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД ""ЗИО-ПОДОЛЬСК""";;10.05.2017
624;Оказание образовательных услуг по программе повышения квалификации «Нормы и правила по безопасности в атомной энергетике»;"Общество с ограниченной ответственностью ""Волгодонское монтажное управление""";;29.05.2017
625;Оказание услуг по сервисному обслуживанию бассейнов санатория-профилактория «Энергетик»;Филиал ОАО «Концерн Росэнергоатом» «Нововоронежская атомная станция»;;16.06.2017
626;Приобретение наградных медалей;"Открытое акционерное общество ""Концерн Росэнергоатом"" Департамент административно-хозяйственного обеспечения";;19.06.2017
627;Поставка расходомеров-счетчиков ультразвуковых для объектов атомной энергетики.;"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Кольская АЭС""";38512000;04.10.2017
628;Обследование сооружений энергетики;"Федеральное государственное унитарное предприятие ""Российский Федеральный Ядерный Центр - Всероссийский научно-исследовательский институт технической физики имени академика Е.И.Забабахина""";337586;17.08.2017
629;"оказание образовательных услуг по программе «Повышение уровня лингвистической компетенции для специалистов атомной энергетики""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";5946456;18.09.2017
630;"Оказание услуг по круглосуточному дежурству (мониторингу) в жилых, лечебных корпусах санатория-профилактория ""Энергетик"" и регистрации пребывающих для проживания гостей";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";19036443;28.08.2017
631;Возобновляемая энергетика в изолированных энергорайонах (Приглашение делать оферты);"Автономная некоммерческая организация ""АГЕНТСТВО ДАЛЬНЕГО ВОСТОКА ПО ПРИВЛЕЧЕНИЮ ИНВЕСТИЦИЙ И ПОДДЕРЖКЕ ЭКСПОРТА""";;29.08.2017
632;"Оказание услуг по организации питания участников мероприятий, проживающих в санатории-профилактории ""Энергетик""";"Акционерное общество ""Концерн Росэнергоатом"" филиал ""Нововоронежская АЭС""";9006000;27.07.2017
633;Проведение сравнительного анализа эксплуатации электротехнического оборудования АЭС специалистами предприятий традиционной энергетики. (НВОАЭС, КЛНАЭС, КУРАЭС, ЛЕНАЭС). Разработка предложений по совершенствованию эксплуатации.;"Технологический филиал АО ""Концерн Росэнергоатом""";2522250;29.08.2017
634;Закупка угля;"АО ""АСС""
Заказчик:ООО ""Энергетик""";5424250;08.08.2017
635;Разработка проекта нормативов образования отходов и лимитов на их размещение;"АО ""АСС""
Заказчик:АО ""ПРиС""";250000;25.07.2017
636;Ремонт кровли;"АО ""АСС""
Заказчик:ООО ""Энергетик""";221000;02.08.2017
637;Монтаж системы технологического и охранного видеонаблюдения;"АО ""АСС""
Заказчик:АО ""ПРиС""";201000;25.08.2017
638;Техническое обслуживание и ремонт пожарной сигнализации;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;30.08.2017
639;Чистка и телеинспекция канализационных сетей;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;03.09.2017
640;подготовка плана мероприятия по локализации и ликвидации последствий аварий на ОПО;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:Белгородский филиал ООО ""Тамбовский бекон""";;16.08.2017
641;"Приобретение бытовых котлов для Филиала ООО ""Тамбовский бекон"" в г. Белгород";"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:ООО ""Тамбовский бекон""";;21.08.2017
642;Приобретение сварочного электрогенератора;"Общество с ограниченной ответственностью ""Тамбовский бекон""
Заказчик:ООО ""Тамбовский бекон""";;21.08.2017
